distal_education_type,education_level,year,e_value
household_head,1,2019,0.017
household_head,2,2019,0.011
household_head,3,2019,0.057
household_head,4,2019,1
household_head,1,2014,0.009
household_head,2,2014,0.004
household_head,3,2014,0.051
household_head,4,2014,1
mother,1,2019,0.294
mother,2,2019,0.348
mother,3,2019,0.52
mother,4,2019,1
father,1,2019,0.043
father,2,2019,0.086
father,3,2019,0.12
father,4,2019,1
mother,1,2014,0.035
mother,2,2014,0.162
mother,3,2014,0.894
mother,4,2014,1
father,1,2014,0.037
father,2,2014,0.304
father,3,2014,0.932
father,4,2014,1
father,1,2006,0.662
father,2,2006,1.011
father,3,2006,2.026
father,4,2006,1
mother,1,2006,0.107
mother,2,2006,0.045
mother,3,2006,0.086
mother,4,2006,0.21
mother,5,2006,1
