Wealth Score Decile,Year,e_value
1,2019,0.427
2,2019,0.432
3,2019,0.465
4,2019,0.503
5,2019,0.541
6,2019,0.634
7,2019,0.685
8,2019,0.73
9,2019,0.837
10,2019,1
1,2014,0.494
2,2014,0.369
3,2014,0.372
4,2014,0.427
5,2014,0.439
6,2014,0.473
7,2014,0.586
8,2014,0.592
9,2014,0.615
10,2014,1
1,2006,0.43
2,2006,0.316
3,2006,0.324
4,2006,0.33
5,2006,0.364
6,2006,0.401
7,2006,0.384
8,2006,0.441
9,2006,0.572
10,2006,1
1,2000,3.42
2,2000,2.035
3,2000,1.867
4,2000,2.183
5,2000,1.72
6,2000,1.633
7,2000,1.725
8,2000,1.367
9,2000,1.008
10,2000,1
